% 1. Title: Premiership Data 2013 Season

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Bradford, Burnley, Charlton, Chelsea, Coventry, CrystalPalace, Derby, Everton, Fulham, Hull, Ipswich, Leeds, Leicester, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'LadbrooksHomeWinOdds' numeric
@attribute 'LadbrooksDrawOdds' numeric
@attribute 'LadbrooksAwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'class' { D,H,A }
@data
Blackburn,ManCity,0,4,0,0,5,19,4,12,9,14,4,5,1,1,0,0,6.5,3.75,1.57,6.5,4,1.53,5,4.2,1.62,A
Everton,Liverpool,0,2,0,0,12,15,4,9,15,9,5,9,1,1,1,0,3.1,3.2,2.4,2.9,3.25,2.5,2.9,3.25,2.45,A
ManUnited,Norwich,2,0,0,0,17,13,9,6,9,6,10,3,1,0,0,0,1.17,7,17,1.17,7,17,1.18,7.5,12,H
Sunderland,WestBrom,2,2,2,2,12,7,7,3,9,13,7,4,2,0,0,0,2.25,3.4,3.2,2.2,3.25,3.4,2.25,3.3,3.2,D
Wolves,Newcastle,1,2,0,2,25,10,12,6,7,10,10,5,1,2,0,0,2.5,3.25,2.88,2.4,3.3,3,2.38,3.25,3,A
Bolton,Chelsea,1,5,0,4,14,21,10,14,10,11,4,5,1,2,0,0,6.5,4,1.53,6.5,4,1.53,6,4,1.55,A
Fulham,QPR,6,0,3,0,19,17,13,10,10,7,4,4,2,3,0,0,2,3.3,4,2,3.3,4,2,3.4,3.8,H
Swansea,Stoke,2,0,1,0,9,11,5,6,14,18,6,5,3,5,0,0,2.63,3.25,2.75,2.7,3.2,2.7,2.7,3.1,2.7,H
Tottenham,Arsenal,2,1,1,0,16,13,8,7,11,8,9,7,2,1,0,0,2.1,3.4,3.5,2.2,3.4,3.25,2.15,3.5,3.2,H
Chelsea,Everton,3,1,2,0,7,9,5,5,13,11,2,2,2,2,0,0,1.36,4.5,10,1.33,5,9,1.36,4.75,8.5,H
Liverpool,ManUnited,1,1,0,0,14,10,8,3,8,11,8,3,1,3,0,0,3,3.3,2.4,3.2,3,2.5,3.2,3.1,2.5,D
ManCity,AstonVilla,4,1,1,0,15,8,10,6,10,6,5,1,1,1,0,0,1.33,5,10,1.36,4.5,9,1.33,5,8.5,H
Norwich,Swansea,3,1,2,1,15,12,8,4,6,5,4,4,0,1,0,0,2.2,3.3,3.4,2.2,3.3,3.25,2.15,3.3,3.4,H
QPR,Blackburn,1,1,1,1,12,10,6,9,10,13,5,7,3,2,0,0,1.83,3.5,4.5,1.91,3.4,4,1.85,3.5,4.33,D
Stoke,Fulham,2,0,0,0,14,4,6,1,14,15,5,2,4,4,0,0,2.2,3.2,3.5,2,3.3,3.8,2.15,3.2,3.6,H
Wigan,Bolton,1,3,1,2,13,14,9,11,16,14,5,4,4,4,0,0,2.3,3.3,3.2,2.25,3.3,3.2,2.3,3.3,3.1,A
Arsenal,Sunderland,2,1,1,1,20,8,11,4,9,19,9,2,3,3,0,0,1.44,4.33,7.5,1.4,4.5,8,1.44,4.33,7,H
Newcastle,Tottenham,2,2,0,1,12,11,7,8,11,15,5,2,1,2,0,0,3,3.3,2.4,2.75,3.3,2.5,2.8,3.5,2.4,D
WestBrom,Wolves,2,0,1,0,17,13,11,10,14,12,2,11,0,1,0,0,2,3.3,4,2.05,3.3,3.75,2.05,3.4,3.6,H
AstonVilla,WestBrom,1,2,1,1,3,8,0,5,11,8,3,8,2,3,1,0,2,3.3,4,1.91,3.4,4,2,3.3,3.75,A
Bolton,Sunderland,0,2,0,0,15,18,8,10,15,14,2,11,0,3,0,0,2.2,3.2,3.5,2.2,3.3,3.3,2.3,3.2,3.2,A
Liverpool,Norwich,1,1,1,0,25,12,15,10,6,8,10,3,0,1,0,0,1.29,5.5,11,1.3,5,10,1.33,4.75,9,D
Newcastle,Wigan,1,0,0,0,13,12,10,5,7,22,7,3,3,2,0,0,1.57,3.8,6.5,1.62,3.6,6,1.62,3.75,5.5,H
Wolves,Swansea,2,2,0,2,20,16,13,14,14,11,8,13,2,0,0,0,2,3.4,3.8,2,3.3,3.75,2,3.3,3.75,D
Arsenal,Stoke,3,1,1,1,9,5,5,2,9,13,10,1,0,2,0,0,1.53,4,6.5,1.53,3.8,6.5,1.57,3.75,6,H
Blackburn,Tottenham,1,2,1,1,19,9,8,7,19,7,8,5,4,1,0,0,4,3.5,1.91,4,3.4,1.91,3.75,3.6,1.91,A
Fulham,Everton,1,3,0,1,15,11,8,7,12,8,5,1,3,1,0,0,2.25,3.25,3.3,2.38,3.25,3,2.4,3,3.2,A
ManUnited,ManCity,1,6,0,1,12,19,8,12,15,11,7,4,4,4,1,0,2,3.4,3.8,2.1,3.3,3.6,2.1,3.3,3.5,A
QPR,Chelsea,1,0,1,0,8,14,3,7,17,17,0,6,2,7,0,2,9.5,5,1.33,8,4.5,1.4,8.5,4.75,1.36,H
Chelsea,Arsenal,3,5,2,1,12,13,10,8,7,18,3,2,2,3,0,0,1.62,4,5.5,1.62,3.6,6,1.67,3.5,5.5,A
Everton,ManUnited,0,1,0,1,18,7,11,6,12,8,4,1,3,0,0,0,4.5,3.6,1.8,4.5,3.5,1.8,4.5,3.4,1.83,A
ManCity,Wolves,3,1,0,0,18,9,9,2,17,5,5,4,2,1,1,0,1.17,7,19,1.17,7,17,1.18,6.5,15,H
Norwich,Blackburn,3,3,0,1,13,12,6,7,9,10,6,2,2,1,0,0,1.91,3.6,4,2,3.5,3.75,2,3.2,4,D
Sunderland,AstonVilla,2,2,1,1,13,10,8,5,7,13,5,6,1,3,0,0,2.1,3.3,3.6,2.2,3.3,3.3,2.25,3.2,3.3,D
Swansea,Bolton,3,1,0,0,20,8,12,3,9,14,10,2,3,4,0,1,2.1,3.3,3.6,2.1,3.4,3.5,2.15,3.2,3.5,H
WestBrom,Liverpool,0,2,0,2,10,17,6,7,12,9,3,10,1,0,0,0,4,3.3,2,3.75,3.5,2,3.75,3.1,2.1,A
Wigan,Fulham,0,2,0,1,18,7,9,5,17,14,9,0,2,5,0,0,2.88,3.25,2.5,2.8,3.3,2.5,2.9,3.1,2.5,A
Tottenham,QPR,3,1,2,0,22,12,13,8,12,14,4,8,0,0,0,0,1.36,4.75,9,1.36,4.6,9,1.4,4.5,8,H
Stoke,Newcastle,1,3,0,2,10,6,4,2,8,14,8,2,0,1,0,0,2.1,3.2,3.8,2.2,3.3,3.3,2.2,3.1,3.5,A
Arsenal,WestBrom,3,0,2,0,12,9,7,4,12,12,4,1,0,0,0,0,1.4,4.5,8.5,1.4,4.5,8,1.44,4.2,8,H
AstonVilla,Norwich,3,2,1,1,12,9,6,7,11,9,6,6,1,5,0,0,1.83,3.5,4.5,1.8,3.5,4.5,1.91,3.3,4.2,H
Blackburn,Chelsea,0,1,0,0,13,12,8,8,12,10,5,8,4,2,0,0,7.5,4.33,1.44,7,4.33,1.44,7,4,1.5,A
Liverpool,Swansea,0,0,0,0,18,9,10,3,13,5,11,4,2,1,0,0,1.29,5.5,10,1.29,5.5,10,1.36,4.33,10,D
ManUnited,Sunderland,1,0,1,0,15,9,9,3,6,14,6,2,0,2,0,0,1.25,5.5,13,1.2,6.5,13,1.25,5.5,13,H
Newcastle,Everton,2,1,2,1,10,14,6,6,12,15,5,3,2,3,0,0,2.25,3.25,3.3,2.25,3.25,3.2,2.38,3.2,3,H
QPR,ManCity,2,3,1,1,18,16,9,8,5,14,3,1,1,1,0,0,10,5,1.33,9,5,1.33,8,4.5,1.4,A
Bolton,Stoke,5,0,2,0,20,9,16,6,10,9,12,4,0,1,0,0,2.4,3.3,3,2.38,3.3,3,2.5,3.2,2.8,H
Fulham,Tottenham,1,3,0,2,26,8,20,8,5,9,11,1,0,1,0,0,3.25,3.3,2.25,3.25,3.3,2.2,3.2,3.2,2.3,A
Wolves,Wigan,3,1,1,1,13,13,12,7,11,13,5,6,2,1,0,0,1.91,3.3,4.33,1.83,3.4,4.5,2,3.1,4.2,H
